CaseOrder,Bandwidth_GB_Year,Device_protection,Online_backup,Options
2695,542.7248776,0,0,3
5141,5725.876807,0,1,3
2569,1965.462483,1,0,3
3672,971.4767445,0,1,3
7428,5328.076501,0,1,2
3994,630.454611,0,0,3
8083,5676.244141,0,1,4
5131,5319.773541,0,1,2
1718,1607.735971,0,0,3
6922,5360.396176,1,0,2
3879,3069.097767,1,1,3
9305,6564.863417,0,1,4
2948,1705.874036,1,0,3
1124,906.2735981,0,1,4
4315,443.3624779,0,0,3
8904,4853.919295,1,1,5
2876,1844.526573,0,0,2
1996,786.3429747,0,0,6
1042,500.7187258,0,1,3
6655,5364.283551,1,1,5
2598,3068.956506,1,0,4
2652,862.6906733,0,0,5
1179,1124.637958,0,1,5
3224,553.0231321,0,1,3
2752,1169.714886,0,0,4
5290,6149.726033,1,0,3
9540,5748.620529,0,0,2
8534,5104.889837,0,0,5
3177,1586.632329,0,1,2
4090,911.2594992,0,0,4
7396,6768.49967,0,1,3
4316,514.9287886,1,0,3
4258,295.3935883,0,0,1
1163,1821.82345,0,1,5
3316,1413.736327,0,1,2
9696,4024.612201,0,1,4
8178,5443.98404,0,0,4
4846,468.5975061,0,0,3
6548,4218.975069,1,1,4
9829,4486.582949,1,1,4
1903,762.3743815,1,1,3
504,1047.361909,1,1,3
715,470.682278,0,0,4
6334,5011.057255,0,1,4
2693,601.2192303,1,1,2
299,1939.811149,1,1,4
6689,5746.58453,1,0,3
6099,6112.379667,0,0,3
9256,5099.333841,1,1,3
3923,979.002185,1,1,5
3527,1317.388693,0,0,3
1363,2743.734408,0,1,5
4068,2120.151113,0,1,5
8468,3296.618156,1,1,5
3374,1627.688937,0,0,4
4564,1161.766944,1,0,3
5097,4862.205431,0,0,3
2657,1225.184798,1,0,4
7541,4947.739322,1,1,3
5749,6391.573253,1,1,4
1305,1826.678884,1,1,5
6444,5674.466677,0,1,2
703,1885.438773,0,0,3
4340,1599.616413,0,1,3
902,1101.650764,0,1,4
2295,1403.290023,1,1,4
8395,3747.78242,1,1,3
8615,4048.983361,0,0,3
6957,3836.081698,0,0,3
9803,4741.134235,0,0,4
1754,1956.469091,1,1,2
5040,6845.831296,0,1,3
26,774.2937069,0,0,2
7327,4629.932238,1,0,3
2065,1187.710162,0,0,5
4190,1564.304827,0,1,5
567,669.0040793,1,1,3
8979,6055.708509,0,1,4
8048,5910.417848,1,1,5
609,774.8506663,0,0,4
6290,4930.400921,0,0,4
2464,2373.467756,1,0,2
5708,5401.877883,1,1,4
838,2653.32821,1,0,2
3456,2352.994051,0,1,4
4401,1114.676099,0,0,2
6320,5616.475997,1,0,3
9580,6073.965344,1,0,4
4536,2082.760575,1,1,3
6005,6520.292051,1,0,3
232,1707.641161,0,0,4
6737,6093.707012,1,0,4
841,2441.022927,0,0,4
40,1530.10769,1,1,4
7089,4826.758437,0,1,2
3660,822.6124438,1,0,5
5143,5861.996544,1,0,4
5949,6101.954062,1,1,5
290,1775.838153,0,0,4
4418,2150.01852,0,1,3
727,908.0504522,1,0,4
3502,1409.589822,1,0,4
8573,5823.6249,0,0,6
47,2384.885909,0,1,2
6949,5994.514316,1,0,2
5014,6234.682273,1,1,4
5830,5866.495925,1,0,5
3819,2911.171492,0,0,3
4552,1518.895794,1,1,3
5780,5640.808851,0,0,1
7168,5847.186613,1,0,5
5639,6599.564823,1,1,4
8334,3784.965371,0,1,3
6142,6287.497445,0,1,4
9837,4839.828588,1,0,3
297,1446.203986,0,0,3
443,544.12326,1,0,2
1323,592.8646912,1,0,4
3369,1643.441405,0,0,2
3187,928.6314289,0,1,5
5013,4815.278288,1,1,3
5822,5555.86987,1,0,4
8546,5447.179024,1,0,4
7025,6681.250538,1,1,2
7347,5499.748153,0,1,4
6410,5824.155057,0,1,3
9867,4067.92605,0,1,5
2930,2380.995294,1,1,4
3472,840.7473935,1,1,4
3113,1383.430229,0,1,5
2405,1427.811261,1,0,2
7436,4162.046301,1,0,2
91,409.7486664,1,0,3
2016,2097.707886,1,1,4
5875,6426.687397,0,1,3
2528,254.7465501,0,0,4
2918,1932.26875,1,0,4
4793,1063.934914,0,1,6
3702,1301.182014,1,0,3
1396,961.4921994,1,1,3
4978,1292.497362,1,1,3
9017,5918.858621,0,1,3
4236,1372.679029,0,0,4
6090,6285.098359,0,1,4
3014,1965.90329,1,1,3
8383,5994.956113,0,1,5
9509,5702.76012,1,0,2
2158,840.6246629,1,0,4
5816,4181.676431,1,1,4
4436,479.5519429,0,1,4
8202,4904.294892,0,1,5
3192,1703.524533,0,1,4
4073,985.0942314,1,1,5
5050,6177.436257,0,0,2
3339,1436.945723,0,1,4
1520,1561.767949,0,1,5
8273,4907.861735,1,1,2
2444,1328.874126,0,0,4
4559,498.8080579,0,0,5
3943,1110.320153,0,0,3
8440,5912.297497,1,1,2
6784,4912.958462,1,1,3
4981,940.3579408,0,1,4
2360,1149.144476,1,1,6
6349,4259.291587,1,0,3
2274,2018.432674,0,0,4
9073,6101.379973,1,0,4
1329,825.6469228,1,1,4
9146,6280.766215,0,0,3
687,1554.416773,0,1,4
2491,1131.789188,1,0,3
9445,3729.770527,1,0,3
7387,4996.04596,0,0,4
695,2580.979643,1,0,2
4908,2563.027756,1,0,5
7452,5681.82038,1,0,5
1318,1304.854276,0,0,5
4030,962.2206823,0,1,4
2658,877.2126863,0,0,2
7118,5288.937008,0,1,1
6425,5675.888405,0,0,4
8133,5487.786212,1,0,4
9856,5600.00441,1,0,2
9926,3903.674979,0,1,4
233,2181.752793,0,0,3
4679,1186.544217,1,0,4
9588,5085.102968,0,0,4
7557,6102.523323,0,1,4
9504,5893.413959,0,1,4
5897,5070.792059,0,1,3
2046,2341.106117,1,0,5
6284,5699.245355,0,0,3
2689,1244.129071,0,0,1
3572,1291.650867,1,0,3
6195,6217.615271,0,1,3
1030,1333.027522,0,0,4
3532,2060.536764,0,0,3
4285,1224.72764,1,1,5
6631,5483.045236,0,1,4
5912,5847.437103,0,1,3
3020,929.0075954,0,0,5
6103,5922.604676,1,0,5
5084,6565.889584,1,1,4
1505,1656.731409,1,0,6
3001,1259.881706,1,0,2
8579,5880.876863,0,1,4
4920,1166.216656,1,0,2
5282,5184.395666,1,1,3
5815,5871.888679,1,1,2
369,1460.513443,1,0,4
8259,5974.298824,0,1,3
811,1048.128938,1,1,5
8654,6026.66605,0,1,3
4965,1360.253379,0,0,4
7813,5392.876359,0,0,4
9118,4149.822715,1,0,4
8998,6269.314301,1,1,3
9371,6271.997377,0,0,3
488,522.7315686,0,1,2
2525,864.371328,1,0,3
8038,6746.802832,0,1,5
6945,4855.986258,0,1,5
2955,2275.551071,1,0,4
6981,5714.245646,0,1,3
1717,1204.39272,0,1,3
5451,6300.056458,0,0,5
7616,5025.121526,1,0,4
7467,5549.125491,0,0,5
8551,4224.557626,0,0,2
9384,3270.009915,0,0,3
7167,5796.781424,0,0,3
9098,6519.801796,0,0,4
3732,2049.799984,1,0,3
5620,5477.886159,0,1,3
4097,1547.496008,1,0,3
7563,4499.020965,0,0,3
2985,1911.199623,0,0,4
9388,5645.707551,1,1,4
3944,1765.087747,1,1,3
8108,5081.322485,0,0,4
4058,1653.932692,0,1,3
1424,738.9464573,1,1,5
8619,4447.513551,1,1,4
9010,5992.278257,0,1,2
6506,5934.434665,0,1,3
6887,5789.412751,0,1,4
6620,4901.452536,0,1,2
958,1943.761302,1,0,2
3205,409.0267699,0,0,3
4550,650.4414677,0,1,3
8372,5754.451842,0,1,4
6797,4986.869447,0,1,3
49,740.010722,0,0,3
1380,1507.046722,0,0,4
8052,6192.473684,1,1,3
1904,617.4480514,0,0,4
4600,486.381294,0,1,4
9258,6069.26126,1,0,3
2442,886.9671382,0,0,3
4435,1225.408596,0,1,3
5322,6335.816115,1,1,3
767,1026.300872,0,1,4
2028,1349.319824,1,1,4
8927,5605.985814,1,0,4
5731,4585.713564,0,0,2
6480,5021.065195,1,1,3
5155,5760.908084,1,0,3
4464,1649.105838,1,1,3
9187,4972.468459,0,0,3
9823,5202.411958,0,1,4
4400,1164.755978,1,1,3
4876,520.7155239,0,1,3
6218,5379.896069,0,0,5
2723,977.9373731,1,1,6
7564,4539.933056,1,1,3
5241,6253.491089,0,0,4
9995,4945.75643,1,0,3
9236,4643.404934,0,0,3
6004,5530.990602,0,0,5
7581,5874.548599,0,0,2
6705,6622.410472,0,1,1
6734,5328.678277,0,1,3
9574,5431.697734,0,1,4
7481,4834.745442,0,1,4
759,991.7633623,0,0,3
6608,6336.386835,0,1,3
7835,5940.651428,1,0,3
3011,889.2239784,1,1,2
1617,2154.298838,0,1,4
9348,5901.736855,1,0,4
4937,1304.494778,1,0,4
3726,1803.766672,1,0,4
943,1965.419062,0,1,2
1214,554.7295152,0,0,4
7954,4638.586726,0,0,2
1945,943.490788,1,0,2
2865,722.5123131,1,1,3
3912,1792.010429,0,0,5
8237,6727.30047,0,1,3
9110,4974.663293,0,0,4
9273,5432.427022,0,1,3
2755,1810.906541,0,0,2
6519,4453.928623,0,1,2
7653,5323.572726,0,1,5
6415,4072.167583,1,1,3
5885,4801.928653,1,1,3
6626,5848.038669,0,0,3
4982,888.9198648,0,0,3
6003,5727.232268,1,1,4
2256,744.427424,0,0,4
4010,458.7691639,0,1,4
6520,5109.745716,1,0,2
4529,1094.624835,0,0,3
3005,1021.343044,1,1,4
8149,5695.706857,0,1,5
6556,6557.961131,0,0,4
8910,4254.251624,1,0,3
788,335.9239723,0,0,4
7049,5577.385772,0,0,5
6641,5677.907968,0,0,4
