CaseOrder,Tenure
2695,4.431604
5141,61.35427
2569,13.43811
3672,3.911083
7428,59.28871
3994,5.595446
8083,61.27787
5131,60.38138
1718,6.215774391
6922,61.55321
3879,31.44123
9305,71.50974
2948,12.73029
1124,1.456262249
4315,3.23817
8904,51.59283
2876,16.71459
1996,5.794641025
1042,1.415346194
6655,63.61158
2598,28.22989
2652,6.307859
1179,6.195470215
3224,1.862828
2752,8.27839
5290,62.10568
9540,66.68553
8534,55.55389
3177,8.915226
4090,3.033303
7396,71.32292
4316,1.865935
4258,1.31809
1163,9.26064585
3316,7.146126
9696,40.14232
8178,59.52332
4846,2.924951
6548,48.57121
9829,47.45044
1903,2.389328443
504,4.806882153
715,3.613513424
6334,53.06256
2693,3.628867
299,18.35541838
6689,66.8244
6099,69.87194
9256,56.00686
3923,8.931572
3527,11.16386
1363,20.96092159
4068,16.53338
8468,38.58318
3374,11.59206
4564,6.999666
5097,55.34066
2657,6.652608
7541,56.74758
5749,69.5048
1305,15.59096202
6444,66.30503
703,12.84120976
4340,13.21733
902,5.261212465
2295,6.981941
8395,38.92029
8615,41.36314
6957,40.35276
9803,49.94733
1754,16.15614223
5040,70.79968
26,4.157658837
7327,49.61909
2065,8.333131
4190,5.648594
567,2.685677496
8979,64.2738
8048,66.49538
609,2.566196093
6290,59.33259
2464,17.84058
5708,56.31481
838,23.956929
3456,23.08359
4401,10.35635
6320,66.65664
9580,64.59012
4536,18.07558
6005,70.56628
232,18.17247008
6737,69.32507
841,19.76529476
40,16.04202196
7089,49.26311
3660,5.317775
5143,63.47674
5949,69.96694
290,12.75609778
4418,21.52164
727,8.458573247
3502,6.081227
8573,61.45615
47,22.25746016
6949,64.63983
5014,66.89524
5830,62.04916
3819,26.91021
4552,11.42464
5780,56.32645
7168,63.96748
5639,71.93174
8334,40.21109
6142,65.48954
9837,47.03744
297,14.86764776
443,1.171557288
1323,2.849622074
3369,12.82008
3187,1.453865
5013,50.73425
5822,62.32519
8546,60.0122
7025,66.78494
7347,64.00973
6410,60.95034
9867,40.41527
2930,21.53238
3472,6.523366
3113,12.55601
2405,13.67733
7436,43.63637
91,2.188918771
2016,14.80885
5875,64.60644
2528,2.362663
2918,21.06329
4793,9.553951
3702,4.434036
1396,3.469955007
4978,6.62916
9017,62.86571
4236,13.33556
6090,69.76328
3014,9.539097
8383,71.32046
9509,55.87037
2158,2.748652
5816,47.96511
4436,1.709971
8202,56.78051
3192,9.343412
4073,11.37064
5050,70.09214
3339,8.301576
1520,15.54691331
8273,55.15571
2444,2.608423
4559,2.941261
3943,2.086344
8440,64.76289
6784,49.27633
4981,2.146247
2360,9.25848
6349,46.08155
2274,15.88923
9073,71.89152
1329,5.173463744
9146,70.16029
687,9.586248224
2491,4.85088
9445,36.05704
7387,53.90815
695,28.93788212
4908,20.52701
7452,65.11128
1318,9.22316707
4030,1.616979
2658,6.7064
7118,53.92549
6425,64.53
8133,63.25754
9856,62.91268
9926,37.8337
233,15.31997698
4679,5.429608
9588,59.566
7557,61.88348
9504,62.07809
5897,56.28159
2046,25.17478
6284,68.22903
2689,15.51392
3572,9.986555
6195,66.57674
1030,6.339774346
3532,14.70766
4285,10.15451
6631,61.78631
5912,66.31056
3020,5.867453
6103,63.40077
5084,70.49957
1505,16.24273454
3001,7.916586
8579,66.82313
4920,4.64085
5282,59.51347
5815,61.33886
369,13.59137366
8259,58.15583
811,8.294910436
8654,67.5746
4965,6.306379
7813,61.91437
9118,46.12627
8998,71.76656
9371,69.25128
488,2.640977982
2525,2.067128
8038,69.22859
6945,55.62125
2955,25.11299
6981,62.87863
1717,10.16298067
5451,65.83332
7616,57.63584
7467,64.15093
8551,52.69236
9384,36.76838
7167,60.35977
9098,64.74166
3732,19.91179
5620,53.27752
4097,11.36049
7563,41.90646
2985,15.39419
9388,55.73208
3944,13.41057
8108,59.0652
4058,12.35438
1424,5.68109955
8619,48.71074
9010,68.99606
6506,67.43143
6887,66.52106
6620,52.41439
958,16.66213522
3205,3.878694
4550,5.628186
8372,57.4079
6797,57.2547
49,7.760290062
1380,14.23594392
8052,65.84526
1904,3.56722345
4600,2.886437
9258,63.35816
2442,6.582225
4435,4.023413
5322,67.78257
767,6.587201276
2028,3.843142
8927,53.62789
5731,54.01225
6480,55.49975
5155,65.82455
4464,6.403708
9187,56.54849
9823,53.90038
4400,10.44433
4876,2.255314
6218,60.20609
2723,4.448953
7564,45.84636
5241,69.55373
9995,49.92156
9236,53.80104
6004,59.46448
7581,68.78265
6705,71.20279
6734,63.17834
9574,61.32712
7481,56.08228
759,3.248169927
6608,70.76841
7835,59.14141
3011,6.548905
1617,21.04742054
9348,69.1413
4937,9.060452
3726,13.05964
943,13.7944302
1214,4.005780287
7954,55.78075
1945,7.017918254
2865,6.067975
3912,13.04025
8237,69.54041
9110,56.19141
9273,62.44603
2755,10.44767
6519,47.32828
7653,59.84496
6415,39.1168
5885,57.18854
6626,63.41268
4982,9.836442
6003,63.92945
2256,1.703799
4010,2.235315
6520,52.83052
4529,4.18206
3005,3.255652
8149,69.60418
6556,70.95714
8910,43.5663
788,2.831804349
7049,64.43912
6641,64.92702
8254,58.06194
7095,70.85741
8755,56.15392
3681,13.59261
570,14.17620441
4644,20.91805
2404,3.919919
7990,68.04513
7355,45.91201
5914,71.11315
8412,60.16674
9963,56.40424
7357,69.50693
3693,7.283366
5598,48.29494
7883,57.89585
4220,8.11277
5301,68.53091
1256,14.96367107
4513,2.596868
5065,69.2139
6514,54.26219
4868,2.825046
7421,71.25511
5740,64.98806
203,12.39088509
7891,64.12593
1533,10.54165852
6970,65.36253
2493,2.758575
597,13.70230727
7873,70.54541
2786,3.341126
5308,56.47713
3596,6.38998
8351,44.57297
1759,2.066037377
300,7.62779591
4590,6.2061
801,8.063547235
3578,24.84802
4838,6.913925
3068,4.731989
2859,14.40435
1826,1.251588197
5212,69.16302
9416,70.90623
